"Table 8. Tobacco Product Use in the Past Month among Individuals Aged 12 or Older, by State and Substate Region: Percentages, Annual Averages Based on 2014, 2015, and 2016 NSDUHs",,,,,,
"NOTE: Tobacco Products include cigarettes, smokeless tobacco (i.e., snuff, dip, chewing tobacco or ""snus""), cigars, or pipe tobacco.",,,,,,
"NOTE: For substate region definitions, see the ""2014-2016 National Survey on Drug Use and Health Substate Region Definitions"" at https://www.samhsa.gov/data/.",,,,,,
"NOTE: The substate, state, and census region estimates along with the 95 percent confidence (credible) intervals are based on a survey-weighted hierarchical Bayes estimation approach and are generated by Markov Chain Monte Carlo techniques. For the ""Total U.S."" row, design-based (direct) estimates and corresponding 95 percent confidence intervals are given.",,,,,,
"NOTE: The column labeled ""Order"" can be used to sort the data to the original sort order.",,,,,,
"NOTE: The column labeled ""Map Group"" can be used to distinguish substate regions included in the maps from other substate regions. In the ""Map Group"" column, a ""1"" represents the national estimate, a ""2"" represents the census region estimates, a ""3"" represents the state-level estimates, a ""4"" represents the substate/aggregate region-level estimates included in the maps, and a ""5"" represents the other substate/aggregate region-level estimates that are not included in the maps.",,,,,,
"Source: SAMHSA, Center for Behavioral Health Statistics and Quality, National Survey on Drug Use and Health, 2014, 2015, and 2016.",,,,,,
Order,State,Substate Region,"Small Area Estimate",95% CI (Lower),95% CI (Upper),"Map Group"
396,Rhode Island,Region 1: Southern Providence County,22.88%,19.66%,26.45%,4
397,Rhode Island,Region 2: Northern Providence County/Blackstone Valley,26.07%,22.65%,29.82%,4
398,Rhode Island,Region 3: Providence,23.12%,19.70%,26.93%,4
399,Rhode Island,Region 4: Kent County,26.27%,22.82%,30.04%,4
400,Rhode Island,Region 5: East Bay,23.98%,20.51%,27.83%,4
401,Rhode Island,Region 6: Newport County,20.32%,17.16%,23.90%,4
402,Rhode Island,Region 7: South County,21.20%,18.18%,24.57%,4
403,South Carolina,South Carolina,28.73%,26.86%,30.69%,3
404,South Carolina,Region 1,30.67%,27.65%,33.86%,4
405,South Carolina,Region 2,27.91%,24.90%,31.12%,4
406,South Carolina,Region 3,28.94%,25.54%,32.60%,4
407,South Carolina,Region 4,27.10%,24.30%,30.10%,4
408,South Dakota,South Dakota,28.55%,26.59%,30.59%,3
409,South Dakota,Region 1,30.03%,26.86%,33.40%,4
410,South Dakota,Region 2,29.85%,25.91%,34.12%,4
411,South Dakota,Region 3,28.31%,25.14%,31.72%,4
412,South Dakota,Region 4,30.58%,26.84%,34.60%,4
413,South Dakota,Region 5,26.04%,23.01%,29.31%,4
414,Tennessee,Tennessee,29.41%,27.41%,31.49%,3
415,Tennessee,Region 1,32.20%,28.09%,36.62%,4
416,Tennessee,Region 2,31.59%,27.90%,35.52%,4
417,Tennessee,Region 3,30.09%,26.56%,33.88%,4
418,Tennessee,Region 4 (Davidson),26.16%,22.29%,30.44%,4
419,Tennessee,Region 5,29.56%,26.41%,32.91%,4
420,Tennessee,Region 6,32.62%,28.45%,37.08%,4
421,Tennessee,Region 7 (Shelby),24.04%,20.69%,27.75%,4
422,Texas,Texas,23.20%,22.17%,24.25%,3
423,Texas,Region 1,27.78%,24.27%,31.58%,4
424,Texas,Region 2,33.59%,29.61%,37.82%,4
425,Texas,Region 3,21.49%,19.96%,23.09%,4
426,Texas,Region 3a,20.16%,18.30%,22.17%,5
427,Texas,Region 3bc,23.83%,21.52%,26.30%,5
428,Texas,Region 4,32.44%,29.03%,36.05%,4
429,Texas,Region 5,29.17%,25.44%,33.22%,4
430,Texas,Region 6,21.04%,19.32%,22.87%,4
431,Texas,Region 6a,20.59%,18.74%,22.56%,5
432,Texas,Region 6bc,24.91%,21.39%,28.80%,5
433,Texas,Region 7,24.63%,22.55%,26.83%,4
434,Texas,Region 7a,21.96%,19.45%,24.69%,5
435,Texas,Region 7bcd,29.34%,26.05%,32.86%,5
436,Texas,Region 8,22.77%,20.48%,25.24%,4
437,Texas,Region 9,28.40%,24.66%,32.48%,4
438,Texas,Region 10,20.19%,17.37%,23.35%,4
439,Texas,Region 11,21.79%,19.55%,24.21%,4
440,Texas,Region 11abd,22.91%,19.97%,26.15%,5
441,Texas,Region 11c (Hidalgo),19.86%,16.90%,23.21%,5
442,Utah,Utah,14.73%,13.27%,16.32%,3
443,Utah,"Bear River, Northeastern, Summit, Tooele, and Wasatch",15.75%,12.81%,19.21%,4
444,Utah,"Central, Four Corners, San Juan, and Southwest",16.58%,14.03%,19.48%,5
445,Utah,"Central, Four Corners, and San Juan",18.16%,14.84%,22.04%,4
446,Utah,Southwest,15.59%,12.64%,19.08%,4
447,Utah,Davis County,13.03%,10.58%,15.94%,4
448,Utah,Salt Lake County,15.04%,13.23%,17.05%,4
449,Utah,Utah County,12.13%,10.05%,14.58%,4
450,Utah,"Weber, Morgan",17.04%,14.21%,20.31%,4
451,Vermont,Vermont,27.17%,25.22%,29.21%,3
452,Vermont,Champlain Valley,25.72%,23.24%,28.37%,4
453,Vermont,Rural Northeast,31.08%,27.39%,35.02%,4
454,Vermont,Rural Southeast,24.47%,21.33%,27.92%,4
455,Vermont,Rural Southwest,28.56%,24.91%,32.52%,4
456,Virginia,Virginia,24.74%,23.29%,26.26%,3
457,Virginia,Region 1,25.16%,22.36%,28.19%,4
458,Virginia,Region 2,15.60%,13.65%,17.78%,4
459,Virginia,Region 3,35.09%,31.84%,38.49%,4
460,Virginia,Region 4,26.66%,23.88%,29.64%,4
461,Virginia,Region 5,26.89%,24.16%,29.81%,4
462,Washington,Washington,20.93%,19.18%,22.80%,3
463,Washington,Region 1,23.49%,20.72%,26.50%,4
464,Washington,Greater Columbia and North Central,21.26%,18.03%,24.88%,5
465,Washington,Spokane,26.77%,22.88%,31.05%,5
466,Washington,Region 2,17.06%,15.13%,19.19%,4
467,Washington,King,15.33%,13.17%,17.77%,5
468,Washington,North Sound,20.12%,17.13%,23.49%,5
469,Washington,Region 3,24.74%,22.35%,27.30%,4
470,Washington,Pierce,25.01%,21.85%,28.45%,5
471,Washington,Salish,22.40%,18.84%,26.43%,5
472,Washington,SW WA and Great Rivers,26.19%,22.40%,30.36%,5
473,Washington,Thurston-Mason,23.56%,19.53%,28.14%,5
474,West Virginia,West Virginia,37.61%,35.36%,39.93%,3
475,West Virginia,Region I,36.51%,31.70%,41.61%,4
476,West Virginia,Region II,31.54%,27.63%,35.73%,4
477,West Virginia,Region III,37.42%,32.98%,42.08%,4
478,West Virginia,Region IV,39.75%,36.02%,43.60%,4
479,West Virginia,Region V,37.91%,34.36%,41.60%,4
480,West Virginia,Region VI,39.88%,36.06%,43.83%,4
481,Wisconsin,Wisconsin,25.54%,23.68%,27.50%,3
482,Wisconsin,Milwaukee,25.68%,22.38%,29.27%,4
483,Wisconsin,Northeastern,25.85%,22.69%,29.28%,4
484,Wisconsin,Northern,28.61%,24.66%,32.91%,4
485,Wisconsin,Southeastern,23.61%,20.49%,27.05%,4
486,Wisconsin,Southern,23.76%,20.79%,27.01%,4
487,Wisconsin,Western,28.39%,24.64%,32.45%,4
488,Wyoming,Wyoming,29.60%,27.55%,31.73%,3
489,Wyoming,Judicial District 1 (Laramie),29.96%,26.20%,34.02%,4
490,Wyoming,Judicial District 2,28.22%,24.64%,32.09%,4
491,Wyoming,Judicial District 3,27.48%,23.80%,31.49%,4
492,Wyoming,Judicial District 4,27.36%,23.16%,32.01%,4
493,Wyoming,Judicial District 5,27.53%,23.93%,31.45%,4
494,Wyoming,Judicial District 6,34.15%,29.93%,38.64%,4
495,Wyoming,Judicial District 7 (Natrona),32.19%,28.40%,36.24%,4
496,Wyoming,Judicial District 8,30.91%,26.58%,35.60%,4
497,Wyoming,Judicial District 9,28.01%,24.22%,32.14%,4
