"Notes"	"County"	"County Code"	Avg Daily Sunlight (KJ/m²)	# of Observations for Daily Sunlight	Min Daily Sunlight	Max Daily Sunlight
	"Ripley County, IN"	"18137"	15100.05	108477	1776.00	30880.30
	"Rush County, IN"	"18139"	14859.29	72318	1733.80	30366.20
	"St. Joseph County, IN"	"18141"	14437.01	72318	1448.90	29308.90
	"Scott County, IN"	"18143"	15112.87	24106	1735.20	30613.60
	"Shelby County, IN"	"18145"	14864.32	108477	1674.70	30256.90
	"Spencer County, IN"	"18147"	15316.27	96424	1521.70	31238.80
	"Starke County, IN"	"18149"	14520.40	72318	1492.00	30136.30
	"Steuben County, IN"	"18151"	14455.53	96424	1451.30	29987.90
	"Sullivan County, IN"	"18153"	15040.17	96424	1723.80	30103.80
	"Switzerland County, IN"	"18155"	15070.12	36159	1783.10	30942.50
	"Tippecanoe County, IN"	"18157"	14709.09	108477	1458.50	30292.70
	"Tipton County, IN"	"18159"	14733.46	36159	1638.30	30061.40
	"Union County, IN"	"18161"	14877.52	48212	1749.80	30575.90
	"Vanderburgh County, IN"	"18163"	15401.53	36159	1566.10	31199.20
	"Vermillion County, IN"	"18165"	14915.49	48212	1593.80	29861.10
	"Vigo County, IN"	"18167"	14976.60	84371	1597.30	29874.10
	"Wabash County, IN"	"18169"	14669.78	108477	1540.70	30295.00
	"Warren County, IN"	"18171"	14789.51	60265	1518.70	29797.60
	"Warrick County, IN"	"18173"	15326.15	108477	1493.80	31273.20
	"Washington County, IN"	"18175"	15127.34	120530	1585.10	30662.00
	"Wayne County, IN"	"18177"	14787.01	96424	1628.40	30032.40
	"Wells County, IN"	"18179"	14649.64	48212	1640.70	30259.00
	"White County, IN"	"18181"	14701.70	84371	1465.70	30437.10
	"Whitley County, IN"	"18183"	14553.79	48212	1503.10	29963.50
	"Adair County, IA"	"19001"	14874.78	144636	1703.10	29070.60
	"Adams County, IA"	"19003"	14984.35	72318	1663.90	29106.20
	"Allamakee County, IA"	"19005"	14299.26	132583	1644.00	28909.60
	"Appanoose County, IA"	"19007"	14894.91	96424	1598.00	28792.00
	"Audubon County, IA"	"19009"	14754.30	96424	1546.10	28912.40
	"Benton County, IA"	"19011"	14566.99	108477	1412.30	29004.60
	"Black Hawk County, IA"	"19013"	14475.34	108477	1755.70	28672.60
	"Boone County, IA"	"19015"	14760.57	108477	1609.80	29201.90
	"Bremer County, IA"	"19017"	14435.12	72318	1535.80	28638.40
	"Buchanan County, IA"	"19019"	14503.28	144636	1788.80	28862.70
	"Buena Vista County, IA"	"19021"	14641.37	144636	1431.10	28531.80
	"Butler County, IA"	"19023"	14440.19	144636	1424.10	28729.20
	"Calhoun County, IA"	"19025"	14686.05	96424	1428.90	28724.40
	"Carroll County, IA"	"19027"	14682.93	144636	1432.30	28724.00
	"Cass County, IA"	"19029"	14959.14	108477	1682.30	29096.20
	"Cedar County, IA"	"19031"	14609.55	144636	1546.20	29442.50
	"Cerro Gordo County, IA"	"19033"	14518.29	144636	1401.60	28560.40
	"Cherokee County, IA"	"19035"	14675.76	96424	1599.40	28374.10
	"Chickasaw County, IA"	"19037"	14406.84	108477	1424.50	28557.80
	"Clarke County, IA"	"19039"	14882.48	72318	1787.20	28785.90
	"Clay County, IA"	"19041"	14573.26	144636	1533.50	28258.60
	"Clayton County, IA"	"19043"	14413.50	204901	1827.70	29444.00
	"Clinton County, IA"	"19045"	14565.47	132583	1508.00	29373.00
	"Crawford County, IA"	"19047"	14741.82	144636	1407.40	28730.30
	"Dallas County, IA"	"19049"	14777.37	120530	1602.30	29248.30
	"Davis County, IA"	"19051"	14915.21	84371	1572.20	28787.90
	"Decatur County, IA"	"19053"	14981.37	72318	1835.50	28942.10
	"Delaware County, IA"	"19055"	14473.60	144636	1735.20	29362.30
	"Des Moines County, IA"	"19057"	14838.86	96424	1461.70	29540.30
	"Dickinson County, IA"	"19059"	14521.23	96424	1499.90	27971.90
	"Dubuque County, IA"	"19061"	14468.01	144636	1550.90	29269.10
	"Emmet County, IA"	"19063"	14493.07	72318	1465.70	28219.80
	"Fayette County, IA"	"19065"	14405.29	192848	1655.20	28673.90
	"Floyd County, IA"	"19067"	14435.30	144636	1335.00	28542.30
	"Franklin County, IA"	"19069"	14563.38	144636	1465.80	28845.80
	"Fremont County, IA"	"19071"	15270.70	96424	1591.50	29197.60
	"Greene County, IA"	"19073"	14706.57	144636	1519.20	29072.90
	"Grundy County, IA"	"19075"	14537.10	96424	1562.50	28959.00
	"Guthrie County, IA"	"19077"	14731.67	144636	1595.30	28910.30
	"Hamilton County, IA"	"19079"	14636.18	84371	1588.50	28969.00
	"Hancock County, IA"	"19081"	14535.39	144636	1517.10	28818.40
	"Hardin County, IA"	"19083"	14631.00	96424	1564.00	29099.40
	"Harrison County, IA"	"19085"	14925.52	180795	1422.40	29175.70
	"Henry County, IA"	"19087"	14846.74	108477	1430.00	29515.10
	"Howard County, IA"	"19089"	14358.16	72318	1476.90	28314.00
	"Humboldt County, IA"	"19091"	14594.92	96424	1444.80	28722.70
	"Ida County, IA"	"19093"	14707.31	84371	1450.90	28486.20
	"Iowa County, IA"	"19095"	14654.41	108477	1343.50	29108.10
	"Jackson County, IA"	"19097"	14503.88	156689	1414.70	28966.30
	"Jasper County, IA"	"19099"	14787.67	180795	1596.00	29155.30
	"Jefferson County, IA"	"19101"	14802.51	72318	1525.00	29197.40
	"Johnson County, IA"	"19103"	14642.00	156689	1357.30	29382.30
	"Jones County, IA"	"19105"	14519.65	96424	1644.40	28992.00
	"Keokuk County, IA"	"19107"	14742.08	108477	1421.70	29031.60
	"Kossuth County, IA"	"19109"	14565.03	241060	1459.50	28843.50
	"Lee County, IA"	"19111"	14956.21	108477	1451.60	29681.10
	"Linn County, IA"	"19113"	14523.54	144636	1412.40	29055.50
	"Louisa County, IA"	"19115"	14750.32	72318	1447.40	29314.30
	"Lucas County, IA"	"19117"	14867.25	96424	1751.80	28829.70
	"Lyon County, IA"	"19119"	14591.23	132583	1645.00	28002.70
	"Madison County, IA"	"19121"	14823.89	144636	1697.30	29108.00
	"Mahaska County, IA"	"19123"	14758.55	144636	1442.20	28889.10
	"Marion County, IA"	"19125"	14841.65	144636	1705.70	28948.40
	"Marshall County, IA"	"19127"	14685.21	144636	1591.50	29427.90
	"Mills County, IA"	"19129"	15180.70	96424	1532.40	29287.50
	"Mitchell County, IA"	"19131"	14410.80	96424	1372.80	28152.70
	"Monona County, IA"	"19133"	14885.25	180795	1408.30	28648.60
	"Monroe County, IA"	"19135"	14857.47	96424	1737.40	28608.70
	"Montgomery County, IA"	"19137"	15113.57	96424	1647.20	29011.60
	"Muscatine County, IA"	"19139"	14629.43	108477	1362.80	29572.50
	"O'Brien County, IA"	"19141"	14578.98	144636	1557.50	28171.30
	"Osceola County, IA"	"19143"	14478.41	96424	1543.70	27737.40
	"Page County, IA"	"19145"	15171.97	96424	1681.30	28980.80
	"Palo Alto County, IA"	"19147"	14552.08	108477	1479.80	28586.80
	"Plymouth County, IA"	"19149"	14749.18	144636	1576.40	28257.90
	"Pocahontas County, IA"	"19151"	14605.26	108477	1424.40	28704.80
	"Polk County, IA"	"19153"	14753.33	132583	1594.90	29082.30
	"Pottawattamie County, IA"	"19155"	15041.76	216954	1481.20	29343.00
	"Poweshiek County, IA"	"19157"	14742.43	144636	1466.00	28897.70
	"Ringgold County, IA"	"19159"	15057.79	96424	1630.50	28845.50
	"Sac County, IA"	"19161"	14662.08	96424	1413.10	28505.10
	"Scott County, IA"	"19163"	14619.15	84371	1613.80	29361.40
	"Shelby County, IA"	"19165"	14876.90	120530	1447.30	29102.40
	"Sioux County, IA"	"19167"	14636.49	180795	1578.00	28161.90
	"Story County, IA"	"19169"	14733.91	144636	1612.20	29442.60
	"Tama County, IA"	"19171"	14637.06	144636	1639.60	28766.20
	"Taylor County, IA"	"19173"	15084.05	72318	1636.40	28938.70
	"Union County, IA"	"19175"	14956.75	96424	1724.90	28987.70
	"Van Buren County, IA"	"19177"	14945.52	84371	1499.40	29364.60
	"Wapello County, IA"	"19179"	14833.91	96424	1599.70	28629.50
	"Warren County, IA"	"19181"	14822.65	108477	1706.60	28959.00
	"Washington County, IA"	"19183"	14736.50	144636	1365.20	29344.50
	"Wayne County, IA"	"19185"	14931.78	96424	1786.00	29076.90
	"Webster County, IA"	"19187"	14655.21	132583	1484.30	28749.90
	"Winnebago County, IA"	"19189"	14500.04	96424	1437.20	28284.00
	"Winneshiek County, IA"	"19191"	14321.75	144636	1515.20	28502.60
	"Woodbury County, IA"	"19193"	14835.68	216954	1418.70	28553.70
	"Worth County, IA"	"19195"	14485.74	96424	1485.40	28431.60
	"Wright County, IA"	"19197"	14589.11	144636	1551.30	28928.70
	"Allen County, KS"	"20001"	16021.51	72318	1634.70	28964.60
	"Anderson County, KS"	"20003"	15873.90	120530	1585.00	28934.50
	"Atchison County, KS"	"20005"	15504.88	96424	1583.30	29070.90
	"Barber County, KS"	"20007"	17174.74	229007	1910.90	30146.50
	"Barton County, KS"	"20009"	16733.72	192848	1825.30	29315.50
	"Bourbon County, KS"	"20011"	15930.53	144636	1684.60	29049.70
	"Brown County, KS"	"20013"	15499.79	108477	1585.50	29145.00
	"Butler County, KS"	"20015"	16442.47	301325	1681.20	29534.80
	"Chase County, KS"	"20017"	16228.33	144636	1747.90	29366.80
	"Chautauqua County, KS"	"20019"	16505.21	96424	1740.10	29368.10
	"Cherokee County, KS"	"20021"	16094.48	144636	1844.90	29573.00
	"Cheyenne County, KS"	"20023"	16891.92	180795	2018.20	29524.20
	"Clark County, KS"	"20025"	17457.30	241060	1986.10	30464.10
	"Clay County, KS"	"20027"	16043.82	144636	1702.10	29324.40
	"Cloud County, KS"	"20029"	16167.90	144636	1862.20	29041.00
	"Coffey County, KS"	"20031"	16004.73	144636	1594.00	29000.90
	"Comanche County, KS"	"20033"	17343.33	144636	1956.90	30178.20
	"Cowley County, KS"	"20035"	16586.48	241060	1712.20	29499.20
	"Crawford County, KS"	"20037"	16029.21	96424	1714.30	29343.00
	"Decatur County, KS"	"20039"	16673.28	204901	1671.80	29639.70
	"Dickinson County, KS"	"20041"	16192.97	180795	1909.50	29511.60
	"Doniphan County, KS"	"20043"	15408.59	96424	1604.60	29304.20
	"Douglas County, KS"	"20045"	15679.83	108477	1448.90	29401.50
	"Edwards County, KS"	"20047"	17077.08	132583	1888.90	29734.40
	"Elk County, KS"	"20049"	16418.60	144636	1686.10	29287.60
	"Ellis County, KS"	"20051"	16707.93	180795	1866.10	29565.70
	"Ellsworth County, KS"	"20053"	16585.66	180795	1841.10	29590.40
	"Finney County, KS"	"20055"	17369.58	265166	2037.90	29947.40
	"Ford County, KS"	"20057"	17315.73	216954	2026.60	30036.90
	"Franklin County, KS"	"20059"	15750.43	144636	1491.70	29031.40
	"Geary County, KS"	"20061"	15997.62	96424	1990.20	29560.90
	"Gove County, KS"	"20063"	16968.13	192848	1976.90	29516.60
	"Graham County, KS"	"20065"	16716.72	144636	1893.70	29441.90
	"Grant County, KS"	"20067"	17736.01	108477	2234.40	30130.40
	"Gray County, KS"	"20069"	17428.63	144636	2201.50	30139.20
	"Greeley County, KS"	"20071"	17480.89	168742	2262.80	29672.80
	"Greenwood County, KS"	"20073"	16279.09	192848	1637.80	29358.40
	"Hamilton County, KS"	"20075"	17704.04	192848	2268.90	30182.30
	"Harper County, KS"	"20077"	16976.88	180795	1847.40	29955.10
	"Harvey County, KS"	"20079"	16532.89	120530	1785.20	29410.40
	"Haskell County, KS"	"20081"	17584.88	144636	2201.40	30256.10
	"Hodgeman County, KS"	"20083"	17160.50	180795	2097.80	29683.60
	"Jackson County, KS"	"20085"	15576.98	96424	1629.90	29127.30
	"Jefferson County, KS"	"20087"	15573.74	132583	1598.10	29490.00
	"Jewell County, KS"	"20089"	16130.90	241060	1929.40	29027.80
	"Johnson County, KS"	"20091"	15609.79	72318	1442.30	28994.00
	"Kearny County, KS"	"20093"	17594.01	144636	2209.00	30196.20
	"Kingman County, KS"	"20095"	16854.27	216954	1786.30	29862.10
	"Kiowa County, KS"	"20097"	17206.10	144636	1965.90	29903.90
	"Labette County, KS"	"20099"	16236.33	108477	1776.10	29659.40
	"Lane County, KS"	"20101"	17124.49	144636	2057.10	29570.00
	"Leavenworth County, KS"	"20103"	15488.52	72318	1453.60	29160.00
	"Lincoln County, KS"	"20105"	16448.80	180795	1901.60	29498.90
	"Linn County, KS"	"20107"	15826.60	132583	1621.20	28958.50
	"Logan County, KS"	"20109"	17097.64	204901	2234.10	29555.80
	"Lyon County, KS"	"20111"	16049.91	180795	1608.50	29250.50
	"McPherson County, KS"	"20113"	16502.74	192848	1784.20	29328.70
	"Marion County, KS"	"20115"	16362.46	192848	1695.30	29470.00
	"Marshall County, KS"	"20117"	15694.97	192848	1700.00	28878.60
	"Meade County, KS"	"20119"	17575.33	192848	2085.40	30412.70
	"Miami County, KS"	"20121"	15699.52	108477	1504.70	28834.60
	"Mitchell County, KS"	"20123"	16327.18	120530	1903.30	29048.40
	"Montgomery County, KS"	"20125"	16348.61	144636	1708.70	29331.50
	"Morris County, KS"	"20127"	16082.03	144636	1879.10	29306.90
	"Morton County, KS"	"20129"	17992.60	144636	2231.00	30459.30
	"Nemaha County, KS"	"20131"	15566.21	192848	1653.50	29131.10
	"Neosho County, KS"	"20133"	16112.96	108477	1641.50	29064.30
	"Ness County, KS"	"20135"	17014.67	241060	1946.40	29502.60
	"Norton County, KS"	"20137"	16523.32	192848	1695.50	29333.40
	"Osage County, KS"	"20139"	15831.63	192848	1557.80	29189.40
	"Osborne County, KS"	"20141"	16410.75	144636	1860.10	29241.80
	"Ottawa County, KS"	"20143"	16279.23	96424	1789.30	29122.10
	"Pawnee County, KS"	"20145"	16966.06	180795	1802.00	29562.40
	"Phillips County, KS"	"20147"	16397.71	204901	1790.30	29255.80
	"Pottawatomie County, KS"	"20149"	15704.93	168742	1763.20	29105.70
	"Pratt County, KS"	"20151"	17008.54	144636	1876.50	29793.00
	"Rawlins County, KS"	"20153"	16795.33	180795	2086.90	29773.50
	"Reno County, KS"	"20155"	16719.92	216954	1727.90	29394.90
	"Republic County, KS"	"20157"	15985.80	144636	1776.20	28934.10
	"Rice County, KS"	"20159"	16668.32	180795	1724.50	29526.50
	"Riley County, KS"	"20161"	15864.15	120530	1815.50	29446.90
	"Rooks County, KS"	"20163"	16594.89	180795	1850.10	29515.40
	"Rush County, KS"	"20165"	16850.85	180795	1959.50	29502.20
	"Russell County, KS"	"20167"	16581.15	144636	1848.80	29515.30
	"Saline County, KS"	"20169"	16374.30	144636	1807.00	29412.70
	"Scott County, KS"	"20171"	17204.34	192848	2198.50	29731.40
	"Sedgwick County, KS"	"20173"	16601.58	180795	1736.90	29749.80
	"Seward County, KS"	"20175"	17752.76	144636	2328.70	30334.60
	"Shawnee County, KS"	"20177"	15660.42	120530	1634.40	29190.70
	"Sheridan County, KS"	"20179"	16825.43	216954	1898.20	29537.80
	"Sherman County, KS"	"20181"	17066.38	241060	2383.80	29461.20
	"Smith County, KS"	"20183"	16225.63	229007	1832.90	29117.00
	"Stafford County, KS"	"20185"	16875.73	120530	1812.20	29337.70
	"Stanton County, KS"	"20187"	17871.59	144636	2233.10	30185.00
	"Stevens County, KS"	"20189"	17865.52	108477	2211.00	30381.20
	"Sumner County, KS"	"20191"	16777.96	241060	1750.80	29728.90
	"Thomas County, KS"	"20193"	16968.05	241060	2133.00	29672.40
	"Trego County, KS"	"20195"	16841.35	144636	1951.70	29281.60
	"Wabaunsee County, KS"	"20197"	15820.40	132583	1834.30	29390.90
	"Wallace County, KS"	"20199"	17227.13	144636	2255.80	29455.60
	"Washington County, KS"	"20201"	15852.90	192848	1684.00	28928.90
	"Wichita County, KS"	"20203"	17357.89	168742	2165.00	29714.10
	"Wilson County, KS"	"20205"	16234.34	144636	1632.70	29372.30
	"Woodson County, KS"	"20207"	16127.58	96424	1610.30	29232.40
	"Wyandotte County, KS"	"20209"	15482.92	36159	1454.90	28904.80
	"Adair County, KY"	"21001"	15288.15	84371	1652.20	31751.70
	"Allen County, KY"	"21003"	15556.77	60265	1649.80	31754.50
	"Anderson County, KY"	"21005"	15092.84	36159	1576.40	30462.00
	"Ballard County, KY"	"21007"	15736.02	36159	1501.90	32035.50
	"Barren County, KY"	"21009"	15439.47	96424	1611.00	32236.20
	"Bath County, KY"	"21011"	14991.61	72318	1532.90	30843.80
	"Bell County, KY"	"21013"	15108.58	72318	1777.40	31161.00
	"Boone County, KY"	"21015"	15025.70	60265	1794.50	31391.30
	"Bourbon County, KY"	"21017"	15005.22	48212	1758.30	30336.70
	"Boyd County, KY"	"21019"	14938.45	24106	1622.60	30930.20
	"Boyle County, KY"	"21021"	15139.59	36159	1631.50	30946.70
	"Bracken County, KY"	"21023"	15000.16	36159	1806.30	31128.40
	"Breathitt County, KY"	"21025"	14933.86	96424	1594.00	30676.30
	"Breckinridge County, KY"	"21027"	15282.53	96424	1666.00	31241.80
	"Bullitt County, KY"	"21029"	15178.03	60265	1562.80	31047.50
	"Butler County, KY"	"21031"	15469.40	108477	1485.90	32089.90
	"Caldwell County, KY"	"21033"	15568.89	60265	1475.40	32256.60
	"Calloway County, KY"	"21035"	15860.73	84371	1556.70	32418.90
	"Campbell County, KY"	"21037"	14951.32	36159	1744.70	31265.10
	"Carlisle County, KY"	"21039"	15782.64	48212	1504.70	32070.80
	"Carroll County, KY"	"21041"	15079.62	24106	1826.90	30787.20
	"Carter County, KY"	"21043"	15021.63	96424	1652.70	30920.40
	"Casey County, KY"	"21045"	15159.95	60265	1655.10	31265.90
	"Christian County, KY"	"21047"	15535.89	132583	1511.20	31726.30
	"Clark County, KY"	"21049"	14952.43	60265	1550.20	30298.90
	"Clay County, KY"	"21051"	15053.20	108477	1701.50	30810.50
	"Clinton County, KY"	"21053"	15292.65	48212	1779.60	31768.70
	"Crittenden County, KY"	"21055"	15563.52	84371	1471.20	32217.90
	"Cumberland County, KY"	"21057"	15394.54	72318	1762.70	31934.40
	"Daviess County, KY"	"21059"	15437.78	96424	1434.10	31906.80
	"Edmonson County, KY"	"21061"	15405.33	72318	1602.20	32595.60
	"Elliott County, KY"	"21063"	15003.58	48212	1562.00	30835.90
	"Estill County, KY"	"21065"	15039.19	48212	1554.20	30665.00
	"Fayette County, KY"	"21067"	15017.79	60265	1576.30	30109.60
	"Fleming County, KY"	"21069"	14950.98	72318	1706.80	30455.70
	"Floyd County, KY"	"21071"	14839.76	96424	1616.30	31025.40
	"Franklin County, KY"	"21073"	15084.60	48212	1605.70	30471.40
	"Fulton County, KY"	"21075"	15896.74	48212	1632.90	32312.80
	"Gallatin County, KY"	"21077"	15042.51	24106	1803.40	31103.80
	"Garrard County, KY"	"21079"	15084.22	60265	1625.60	30684.60
	"Grant County, KY"	"21081"	15051.84	48212	1836.50	31522.20
	"Graves County, KY"	"21083"	15777.13	144636	1478.50	32182.70
	"Grayson County, KY"	"21085"	15334.56	108477	1666.30	31890.30
	"Green County, KY"	"21087"	15286.32	60265	1606.70	31698.40
	"Greenup County, KY"	"21089"	14953.09	72318	1601.10	30726.20
	"Hancock County, KY"	"21091"	15312.37	48212	1591.90	31275.40
	"Hardin County, KY"	"21093"	15227.63	120530	1630.80	31370.20
	"Harlan County, KY"	"21095"	15120.19	96424	1764.00	31195.10
	"Harrison County, KY"	"21097"	15032.93	72318	1743.90	31169.20
	"Hart County, KY"	"21099"	15358.71	72318	1583.00	32453.60
	"Henderson County, KY"	"21101"	15462.87	96424	1512.00	31797.90
	"Henry County, KY"	"21103"	15076.26	72318	1750.50	30823.60
	"Hickman County, KY"	"21105"	15820.11	24106	1589.40	32227.60
	"Hopkins County, KY"	"21107"	15520.59	108477	1465.70	31908.10
	"Jackson County, KY"	"21109"	15070.97	72318	1636.40	30566.20
	"Jefferson County, KY"	"21111"	15135.82	72318	1511.20	31118.80
	"Jessamine County, KY"	"21113"	15053.26	36159	1580.40	30270.70
	"Johnson County, KY"	"21115"	14907.24	60265	1568.80	31181.60
	"Kenton County, KY"	"21117"	14992.77	48212	1779.90	31610.80
	"Knott County, KY"	"21119"	14906.34	60265	1709.50	30915.10
	"Knox County, KY"	"21121"	15066.60	72318	1804.20	30858.70
	"Larue County, KY"	"21123"	15220.61	60265	1602.00	31301.90
	"Laurel County, KY"	"21125"	15116.29	72318	1676.40	30635.50
	"Lawrence County, KY"	"21127"	14927.13	84371	1575.60	31292.80
	"Lee County, KY"	"21129"	14988.50	36159	1563.00	30575.70
	"Leslie County, KY"	"21131"	14934.93	72318	1693.70	30828.30
	"Letcher County, KY"	"21133"	14952.21	72318	1805.00	30600.30
	"Lewis County, KY"	"21135"	14982.85	96424	1718.20	30532.30
	"Lincoln County, KY"	"21137"	15127.59	72318	1636.60	30880.70
	"Livingston County, KY"	"21139"	15714.27	72318	1475.50	32511.10
	"Logan County, KY"	"21141"	15555.34	132583	1608.40	31954.60
	"Lyon County, KY"	"21143"	15741.17	48212	1494.60	32750.00
	"McCracken County, KY"	"21145"	15737.91	36159	1497.30	31945.90
	"McCreary County, KY"	"21147"	15177.14	72318	1802.50	31188.00
	"McLean County, KY"	"21149"	15473.40	60265	1414.60	32141.30
	"Madison County, KY"	"21151"	15058.74	96424	1614.10	30663.80
	"Magoffin County, KY"	"21153"	14942.77	60265	1576.10	31165.30
	"Marion County, KY"	"21155"	15168.96	72318	1601.70	30866.30
	"Marshall County, KY"	"21157"	15833.50	60265	1528.40	32574.70
	"Martin County, KY"	"21159"	14784.79	48212	1550.40	31127.20
	"Mason County, KY"	"21161"	14911.45	60265	1750.70	30669.80
	"Meade County, KY"	"21163"	15231.14	60265	1669.00	30794.50
	"Menifee County, KY"	"21165"	14965.21	24106	1526.20	30349.80
	"Mercer County, KY"	"21167"	15098.29	36159	1600.50	30637.20
	"Metcalfe County, KY"	"21169"	15366.67	48212	1649.30	31993.80
	"Monroe County, KY"	"21171"	15481.10	72318	1717.70	31942.60
	"Montgomery County, KY"	"21173"	14958.51	36159	1550.40	30416.90
	"Morgan County, KY"	"21175"	14976.63	72318	1524.20	30828.00
	"Muhlenberg County, KY"	"21177"	15502.45	96424	1454.00	32078.70
	"Nelson County, KY"	"21179"	15169.95	96424	1568.30	30931.20
	"Nicholas County, KY"	"21181"	15021.44	36159	1768.30	30600.60
	"Ohio County, KY"	"21183"	15417.09	108477	1417.20	32232.40
	"Oldham County, KY"	"21185"	15064.96	36159	1615.30	30864.30
	"Owen County, KY"	"21187"	15087.42	60265	1732.90	31009.60
	"Owsley County, KY"	"21189"	15011.59	48212	1647.00	30741.50
	"Pendleton County, KY"	"21191"	15028.64	48212	1791.70	31685.00
	"Perry County, KY"	"21193"	14975.24	60265	1728.30	30840.00
	"Pike County, KY"	"21195"	14874.59	156689	1598.40	31503.50
	"Powell County, KY"	"21197"	14992.36	36159	1541.60	30481.70
	"Pulaski County, KY"	"21199"	15198.30	120530	1640.60	31659.50
	"Robertson County, KY"	"21201"	15021.29	12053	1807.50	31004.40
	"Rockcastle County, KY"	"21203"	15084.93	84371	1653.10	30324.30
	"Rowan County, KY"	"21205"	14995.68	60265	1524.50	30775.50
	"Russell County, KY"	"21207"	15275.29	48212	1663.90	31633.10
	"Scott County, KY"	"21209"	15053.08	60265	1556.80	30533.10
	"Shelby County, KY"	"21211"	15094.11	72318	1520.80	31017.40
	"Simpson County, KY"	"21213"	15596.95	72318	1606.80	31911.20
	"Spencer County, KY"	"21215"	15137.26	36159	1549.70	31112.40
	"Taylor County, KY"	"21217"	15188.43	84371	1606.80	31325.60
	"Todd County, KY"	"21219"	15558.78	72318	1559.00	31753.30
	"Trigg County, KY"	"21221"	15665.97	132583	1525.40	32419.10
	"Trimble County, KY"	"21223"	15112.96	36159	1805.80	30705.90
	"Union County, KY"	"21225"	15548.21	60265	1479.20	32195.20
	"Warren County, KY"	"21227"	15542.17	96424	1597.00	32362.00
	"Washington County, KY"	"21229"	15110.81	72318	1582.80	30558.20
	"Wayne County, KY"	"21231"	15269.95	96424	1728.60	31775.50
	"Webster County, KY"	"21233"	15515.96	84371	1466.80	32328.10
	"Whitley County, KY"	"21235"	15148.12	108477	1822.60	30801.40
	"Wolfe County, KY"	"21237"	14964.80	60265	1546.20	30630.90
	"Woodford County, KY"	"21239"	15044.53	36159	1559.50	30205.00
	"Acadia Parish, LA"	"22001"	17400.78	132583	2252.90	33308.00
	"Allen Parish, LA"	"22003"	17417.98	120530	2058.60	33872.40
	"Ascension Parish, LA"	"22005"	17425.57	60265	2184.30	34041.10
	"Assumption Parish, LA"	"22007"	17345.58	84371	2018.40	33041.00
	"Avoyelles Parish, LA"	"22009"	17472.67	180795	1989.60	33920.50
	"Beauregard Parish, LA"	"22011"	17333.09	229007	1986.00	34022.40
	"Bienville Parish, LA"	"22013"	17122.25	180795	1864.90	32745.90
	"Bossier Parish, LA"	"22015"	17071.26	144636	1853.30	32653.40
	"Caddo Parish, LA"	"22017"	17081.60	168742	1845.20	32634.30
	"Calcasieu Parish, LA"	"22019"	17554.51	229007	1839.70	33808.30
	"Caldwell Parish, LA"	"22021"	17304.51	96424	1905.20	33605.70
	"Cameron Parish, LA"	"22023"	19607.40	253113	2027.80	36534.80
	"Catahoula Parish, LA"	"22025"	17405.71	108477	1872.60	34045.80
	"Claiborne Parish, LA"	"22027"	17009.86	120530	1842.30	32579.20
	"Concordia Parish, LA"	"22029"	17411.48	168742	1918.30	34311.60
	"De Soto Parish, LA"	"22031"	17161.78	168742	1808.70	32720.60
	"East Baton Rouge Parish, LA"	"22033"	17312.93	84371	1954.10	34118.40
	"East Carroll Parish, LA"	"22035"	17234.29	84371	2079.00	34637.30
	"East Feliciana Parish, LA"	"22037"	17279.06	72318	1881.90	33379.00
	"Evangeline Parish, LA"	"22039"	17432.29	144636	2090.10	33124.60
	"Franklin Parish, LA"	"22041"	17293.74	132583	1971.60	34228.40
	"Grant Parish, LA"	"22043"	17254.38	144636	1991.00	32990.30
	"Iberia Parish, LA"	"22045"	17749.25	120530	1982.60	33055.80
	"Iberville Parish, LA"	"22047"	17401.37	132583	1954.60	33974.00
	"Jackson Parish, LA"	"22049"	17202.10	132583	1889.50	32963.00
	"Jefferson Parish, LA"	"22051"	17945.98	48212	2104.10	33411.90
	"Jefferson Davis Parish, LA"	"22053"	17471.64	156689	2068.90	34109.20
	"Lafayette Parish, LA"	"22055"	17361.20	48212	2159.40	32800.10
	"Lafourche Parish, LA"	"22057"	18146.34	204901	1928.80	33684.20
	"LaSalle Parish, LA"	"22059"	17325.66	108477	1896.70	33726.60
	"Lincoln Parish, LA"	"22061"	17086.61	84371	1822.10	32836.10
	"Livingston Parish, LA"	"22063"	17641.45	120530	2122.50	35428.70
	"Madison Parish, LA"	"22065"	17289.62	108477	2122.60	34565.80
	"Morehouse Parish, LA"	"22067"	17034.06	132583	1924.00	34248.70
	"Natchitoches Parish, LA"	"22069"	17233.25	241060	1832.20	32626.60
	"Orleans Parish, LA"	"22071"	17999.75	36159	2099.00	32909.10
	"Ouachita Parish, LA"	"22073"	17127.79	120530	1864.40	33811.20
	"Plaquemines Parish, LA"	"22075"	19997.76	180795	2076.40	36372.20
	"Pointe Coupee Parish, LA"	"22077"	17396.47	108477	1922.60	33888.50
	"Rapides Parish, LA"	"22079"	17327.90	253113	1927.80	33426.70
	"Red River Parish, LA"	"22081"	17181.92	72318	1834.10	32752.60
	"Richland Parish, LA"	"22083"	17177.88	120530	1982.90	34171.30
	"Sabine Parish, LA"	"22085"	17270.73	192848	1836.90	32662.20
	"St. Bernard Parish, LA"	"22087"	19658.19	96424	2171.60	36198.90
	"St. Charles Parish, LA"	"22089"	17543.25	72318	2092.30	33611.70
	"St. Helena Parish, LA"	"22091"	17292.57	96424	1937.00	33687.40
