Notes,County,County Code,Avg Daily Sunlight (KJ/mｲ),# of Observations for Daily Sunlight,Min Daily Sunlight,Max Daily Sunlight
,"Emmet County, IA",19063,14493.07,72318,1465.7,28219.8
,"Fayette County, IA",19065,14405.29,192848,1655.2,28673.9
,"Floyd County, IA",19067,14435.3,144636,1335,28542.3
,"Franklin County, IA",19069,14563.38,144636,1465.8,28845.8
,"Fremont County, IA",19071,15270.7,96424,1591.5,29197.6
,"Greene County, IA",19073,14706.57,144636,1519.2,29072.9
,"Grundy County, IA",19075,14537.1,96424,1562.5,28959
,"Guthrie County, IA",19077,14731.67,144636,1595.3,28910.3
,"Hamilton County, IA",19079,14636.18,84371,1588.5,28969
,"Hancock County, IA",19081,14535.39,144636,1517.1,28818.4
,"Hardin County, IA",19083,14631,96424,1564,29099.4
,"Harrison County, IA",19085,14925.52,180795,1422.4,29175.7
,"Henry County, IA",19087,14846.74,108477,1430,29515.1
,"Howard County, IA",19089,14358.16,72318,1476.9,28314
,"Humboldt County, IA",19091,14594.92,96424,1444.8,28722.7
,"Ida County, IA",19093,14707.31,84371,1450.9,28486.2
,"Iowa County, IA",19095,14654.41,108477,1343.5,29108.1
,"Jackson County, IA",19097,14503.88,156689,1414.7,28966.3
,"Jasper County, IA",19099,14787.67,180795,1596,29155.3
,"Jefferson County, IA",19101,14802.51,72318,1525,29197.4
,"Johnson County, IA",19103,14642,156689,1357.3,29382.3
,"Jones County, IA",19105,14519.65,96424,1644.4,28992
,"Keokuk County, IA",19107,14742.08,108477,1421.7,29031.6
,"Kossuth County, IA",19109,14565.03,241060,1459.5,28843.5
,"Lee County, IA",19111,14956.21,108477,1451.6,29681.1
,"Linn County, IA",19113,14523.54,144636,1412.4,29055.5
,"Louisa County, IA",19115,14750.32,72318,1447.4,29314.3
,"Lucas County, IA",19117,14867.25,96424,1751.8,28829.7
,"Lyon County, IA",19119,14591.23,132583,1645,28002.7
,"Madison County, IA",19121,14823.89,144636,1697.3,29108
,"Mahaska County, IA",19123,14758.55,144636,1442.2,28889.1
,"Marion County, IA",19125,14841.65,144636,1705.7,28948.4
,"Marshall County, IA",19127,14685.21,144636,1591.5,29427.9
,"Mills County, IA",19129,15180.7,96424,1532.4,29287.5
,"Mitchell County, IA",19131,14410.8,96424,1372.8,28152.7
,"Monona County, IA",19133,14885.25,180795,1408.3,28648.6
,"Monroe County, IA",19135,14857.47,96424,1737.4,28608.7
,"Montgomery County, IA",19137,15113.57,96424,1647.2,29011.6
,"Muscatine County, IA",19139,14629.43,108477,1362.8,29572.5
,"O'Brien County, IA",19141,14578.98,144636,1557.5,28171.3
,"Osceola County, IA",19143,14478.41,96424,1543.7,27737.4
,"Page County, IA",19145,15171.97,96424,1681.3,28980.8
,"Palo Alto County, IA",19147,14552.08,108477,1479.8,28586.8
,"Plymouth County, IA",19149,14749.18,144636,1576.4,28257.9
,"Pocahontas County, IA",19151,14605.26,108477,1424.4,28704.8
,"Polk County, IA",19153,14753.33,132583,1594.9,29082.3
,"Pottawattamie County, IA",19155,15041.76,216954,1481.2,29343
,"Poweshiek County, IA",19157,14742.43,144636,1466,28897.7
,"Ringgold County, IA",19159,15057.79,96424,1630.5,28845.5
,"Sac County, IA",19161,14662.08,96424,1413.1,28505.1
,"Scott County, IA",19163,14619.15,84371,1613.8,29361.4
,"Shelby County, IA",19165,14876.9,120530,1447.3,29102.4
,"Sioux County, IA",19167,14636.49,180795,1578,28161.9
,"Story County, IA",19169,14733.91,144636,1612.2,29442.6
,"Tama County, IA",19171,14637.06,144636,1639.6,28766.2
,"Taylor County, IA",19173,15084.05,72318,1636.4,28938.7
,"Union County, IA",19175,14956.75,96424,1724.9,28987.7
,"Van Buren County, IA",19177,14945.52,84371,1499.4,29364.6
,"Wapello County, IA",19179,14833.91,96424,1599.7,28629.5
,"Warren County, IA",19181,14822.65,108477,1706.6,28959
,"Washington County, IA",19183,14736.5,144636,1365.2,29344.5
,"Wayne County, IA",19185,14931.78,96424,1786,29076.9
,"Webster County, IA",19187,14655.21,132583,1484.3,28749.9
,"Winnebago County, IA",19189,14500.04,96424,1437.2,28284
,"Winneshiek County, IA",19191,14321.75,144636,1515.2,28502.6
,"Woodbury County, IA",19193,14835.68,216954,1418.7,28553.7
,"Worth County, IA",19195,14485.74,96424,1485.4,28431.6
,"Wright County, IA",19197,14589.11,144636,1551.3,28928.7
,"Allen County, KS",20001,16021.51,72318,1634.7,28964.6
,"Anderson County, KS",20003,15873.9,120530,1585,28934.5
,"Atchison County, KS",20005,15504.88,96424,1583.3,29070.9
,"Barber County, KS",20007,17174.74,229007,1910.9,30146.5
,"Barton County, KS",20009,16733.72,192848,1825.3,29315.5
,"Bourbon County, KS",20011,15930.53,144636,1684.6,29049.7
,"Brown County, KS",20013,15499.79,108477,1585.5,29145
,"Butler County, KS",20015,16442.47,301325,1681.2,29534.8
,"Chase County, KS",20017,16228.33,144636,1747.9,29366.8
,"Chautauqua County, KS",20019,16505.21,96424,1740.1,29368.1
,"Cherokee County, KS",20021,16094.48,144636,1844.9,29573
,"Cheyenne County, KS",20023,16891.92,180795,2018.2,29524.2
,"Clark County, KS",20025,17457.3,241060,1986.1,30464.1
,"Clay County, KS",20027,16043.82,144636,1702.1,29324.4
,"Cloud County, KS",20029,16167.9,144636,1862.2,29041
,"Coffey County, KS",20031,16004.73,144636,1594,29000.9
,"Comanche County, KS",20033,17343.33,144636,1956.9,30178.2
,"Cowley County, KS",20035,16586.48,241060,1712.2,29499.2
,"Crawford County, KS",20037,16029.21,96424,1714.3,29343
,"Decatur County, KS",20039,16673.28,204901,1671.8,29639.7
,"Dickinson County, KS",20041,16192.97,180795,1909.5,29511.6
,"Doniphan County, KS",20043,15408.59,96424,1604.6,29304.2
,"Douglas County, KS",20045,15679.83,108477,1448.9,29401.5
,"Edwards County, KS",20047,17077.08,132583,1888.9,29734.4
,"Elk County, KS",20049,16418.6,144636,1686.1,29287.6
,"Ellis County, KS",20051,16707.93,180795,1866.1,29565.7
,"Ellsworth County, KS",20053,16585.66,180795,1841.1,29590.4
,"Finney County, KS",20055,17369.58,265166,2037.9,29947.4
,"Ford County, KS",20057,17315.73,216954,2026.6,30036.9
,"Franklin County, KS",20059,15750.43,144636,1491.7,29031.4
,"Geary County, KS",20061,15997.62,96424,1990.2,29560.9
,"Gove County, KS",20063,16968.13,192848,1976.9,29516.6
,"Graham County, KS",20065,16716.72,144636,1893.7,29441.9
,"Grant County, KS",20067,17736.01,108477,2234.4,30130.4
,"Gray County, KS",20069,17428.63,144636,2201.5,30139.2
,"Greeley County, KS",20071,17480.89,168742,2262.8,29672.8
,"Greenwood County, KS",20073,16279.09,192848,1637.8,29358.4
,"Hamilton County, KS",20075,17704.04,192848,2268.9,30182.3
,"Harper County, KS",20077,16976.88,180795,1847.4,29955.1
,"Harvey County, KS",20079,16532.89,120530,1785.2,29410.4
,"Haskell County, KS",20081,17584.88,144636,2201.4,30256.1
,"Hodgeman County, KS",20083,17160.5,180795,2097.8,29683.6
,"Jackson County, KS",20085,15576.98,96424,1629.9,29127.3
,"Jefferson County, KS",20087,15573.74,132583,1598.1,29490
,"Jewell County, KS",20089,16130.9,241060,1929.4,29027.8
,"Johnson County, KS",20091,15609.79,72318,1442.3,28994
,"Kearny County, KS",20093,17594.01,144636,2209,30196.2
,"Kingman County, KS",20095,16854.27,216954,1786.3,29862.1
,"Kiowa County, KS",20097,17206.1,144636,1965.9,29903.9
,"Labette County, KS",20099,16236.33,108477,1776.1,29659.4
,"Lane County, KS",20101,17124.49,144636,2057.1,29570
,"Leavenworth County, KS",20103,15488.52,72318,1453.6,29160
,"Lincoln County, KS",20105,16448.8,180795,1901.6,29498.9
,"Linn County, KS",20107,15826.6,132583,1621.2,28958.5
,"Logan County, KS",20109,17097.64,204901,2234.1,29555.8
,"Lyon County, KS",20111,16049.91,180795,1608.5,29250.5
,"McPherson County, KS",20113,16502.74,192848,1784.2,29328.7
,"Marion County, KS",20115,16362.46,192848,1695.3,29470
,"Marshall County, KS",20117,15694.97,192848,1700,28878.6
,"Meade County, KS",20119,17575.33,192848,2085.4,30412.7
,"Miami County, KS",20121,15699.52,108477,1504.7,28834.6
,"Mitchell County, KS",20123,16327.18,120530,1903.3,29048.4
,"Montgomery County, KS",20125,16348.61,144636,1708.7,29331.5
,"Morris County, KS",20127,16082.03,144636,1879.1,29306.9
,"Morton County, KS",20129,17992.6,144636,2231,30459.3
,"Nemaha County, KS",20131,15566.21,192848,1653.5,29131.1
,"Neosho County, KS",20133,16112.96,108477,1641.5,29064.3
,"Ness County, KS",20135,17014.67,241060,1946.4,29502.6
,"Norton County, KS",20137,16523.32,192848,1695.5,29333.4
,"Osage County, KS",20139,15831.63,192848,1557.8,29189.4
,"Osborne County, KS",20141,16410.75,144636,1860.1,29241.8
,"Ottawa County, KS",20143,16279.23,96424,1789.3,29122.1
,"Pawnee County, KS",20145,16966.06,180795,1802,29562.4
,"Phillips County, KS",20147,16397.71,204901,1790.3,29255.8
,"Pottawatomie County, KS",20149,15704.93,168742,1763.2,29105.7
,"Pratt County, KS",20151,17008.54,144636,1876.5,29793
,"Rawlins County, KS",20153,16795.33,180795,2086.9,29773.5
,"Reno County, KS",20155,16719.92,216954,1727.9,29394.9
,"Republic County, KS",20157,15985.8,144636,1776.2,28934.1
,"Rice County, KS",20159,16668.32,180795,1724.5,29526.5
,"Riley County, KS",20161,15864.15,120530,1815.5,29446.9
,"Rooks County, KS",20163,16594.89,180795,1850.1,29515.4
,"Rush County, KS",20165,16850.85,180795,1959.5,29502.2
,"Russell County, KS",20167,16581.15,144636,1848.8,29515.3
,"Saline County, KS",20169,16374.3,144636,1807,29412.7
,"Scott County, KS",20171,17204.34,192848,2198.5,29731.4
,"Sedgwick County, KS",20173,16601.58,180795,1736.9,29749.8
,"Seward County, KS",20175,17752.76,144636,2328.7,30334.6
,"Shawnee County, KS",20177,15660.42,120530,1634.4,29190.7
,"Sheridan County, KS",20179,16825.43,216954,1898.2,29537.8
,"Sherman County, KS",20181,17066.38,241060,2383.8,29461.2
,"Smith County, KS",20183,16225.63,229007,1832.9,29117
,"Stafford County, KS",20185,16875.73,120530,1812.2,29337.7
,"Stanton County, KS",20187,17871.59,144636,2233.1,30185
,"Stevens County, KS",20189,17865.52,108477,2211,30381.2
,"Sumner County, KS",20191,16777.96,241060,1750.8,29728.9
,"Thomas County, KS",20193,16968.05,241060,2133,29672.4
,"Trego County, KS",20195,16841.35,144636,1951.7,29281.6
,"Wabaunsee County, KS",20197,15820.4,132583,1834.3,29390.9
,"Wallace County, KS",20199,17227.13,144636,2255.8,29455.6
,"Washington County, KS",20201,15852.9,192848,1684,28928.9
,"Wichita County, KS",20203,17357.89,168742,2165,29714.1
,"Wilson County, KS",20205,16234.34,144636,1632.7,29372.3
,"Woodson County, KS",20207,16127.58,96424,1610.3,29232.4
,"Wyandotte County, KS",20209,15482.92,36159,1454.9,28904.8
,"Adair County, KY",21001,15288.15,84371,1652.2,31751.7
,"Allen County, KY",21003,15556.77,60265,1649.8,31754.5
,"Anderson County, KY",21005,15092.84,36159,1576.4,30462
,"Ballard County, KY",21007,15736.02,36159,1501.9,32035.5
,"Barren County, KY",21009,15439.47,96424,1611,32236.2
,"Bath County, KY",21011,14991.61,72318,1532.9,30843.8
,"Bell County, KY",21013,15108.58,72318,1777.4,31161
,"Boone County, KY",21015,15025.7,60265,1794.5,31391.3
,"Bourbon County, KY",21017,15005.22,48212,1758.3,30336.7
,"Boyd County, KY",21019,14938.45,24106,1622.6,30930.2
,"Boyle County, KY",21021,15139.59,36159,1631.5,30946.7
,"Bracken County, KY",21023,15000.16,36159,1806.3,31128.4
,"Breathitt County, KY",21025,14933.86,96424,1594,30676.3
,"Breckinridge County, KY",21027,15282.53,96424,1666,31241.8
,"Bullitt County, KY",21029,15178.03,60265,1562.8,31047.5
,"Butler County, KY",21031,15469.4,108477,1485.9,32089.9
,"Caldwell County, KY",21033,15568.89,60265,1475.4,32256.6
,"Calloway County, KY",21035,15860.73,84371,1556.7,32418.9
,"Campbell County, KY",21037,14951.32,36159,1744.7,31265.1
,"Carlisle County, KY",21039,15782.64,48212,1504.7,32070.8
,"Carroll County, KY",21041,15079.62,24106,1826.9,30787.2
,"Carter County, KY",21043,15021.63,96424,1652.7,30920.4
,"Casey County, KY",21045,15159.95,60265,1655.1,31265.9
,"Christian County, KY",21047,15535.89,132583,1511.2,31726.3
,"Clark County, KY",21049,14952.43,60265,1550.2,30298.9
,"Clay County, KY",21051,15053.2,108477,1701.5,30810.5
,"Clinton County, KY",21053,15292.65,48212,1779.6,31768.7
,"Crittenden County, KY",21055,15563.52,84371,1471.2,32217.9
,"Cumberland County, KY",21057,15394.54,72318,1762.7,31934.4
,"Daviess County, KY",21059,15437.78,96424,1434.1,31906.8
,"Edmonson County, KY",21061,15405.33,72318,1602.2,32595.6
,"Elliott County, KY",21063,15003.58,48212,1562,30835.9
,"Estill County, KY",21065,15039.19,48212,1554.2,30665
,"Fayette County, KY",21067,15017.79,60265,1576.3,30109.6
,"Fleming County, KY",21069,14950.98,72318,1706.8,30455.7
,"Floyd County, KY",21071,14839.76,96424,1616.3,31025.4
,"Franklin County, KY",21073,15084.6,48212,1605.7,30471.4
,"Fulton County, KY",21075,15896.74,48212,1632.9,32312.8
,"Gallatin County, KY",21077,15042.51,24106,1803.4,31103.8
,"Garrard County, KY",21079,15084.22,60265,1625.6,30684.6
,"Grant County, KY",21081,15051.84,48212,1836.5,31522.2
,"Graves County, KY",21083,15777.13,144636,1478.5,32182.7
,"Grayson County, KY",21085,15334.56,108477,1666.3,31890.3
,"Green County, KY",21087,15286.32,60265,1606.7,31698.4
,"Greenup County, KY",21089,14953.09,72318,1601.1,30726.2
,"Hancock County, KY",21091,15312.37,48212,1591.9,31275.4
,"Hardin County, KY",21093,15227.63,120530,1630.8,31370.2
,"Harlan County, KY",21095,15120.19,96424,1764,31195.1
,"Harrison County, KY",21097,15032.93,72318,1743.9,31169.2
,"Hart County, KY",21099,15358.71,72318,1583,32453.6
,"Henderson County, KY",21101,15462.87,96424,1512,31797.9
,"Henry County, KY",21103,15076.26,72318,1750.5,30823.6
,"Hickman County, KY",21105,15820.11,24106,1589.4,32227.6
,"Hopkins County, KY",21107,15520.59,108477,1465.7,31908.1
,"Jackson County, KY",21109,15070.97,72318,1636.4,30566.2
,"Jefferson County, KY",21111,15135.82,72318,1511.2,31118.8
,"Jessamine County, KY",21113,15053.26,36159,1580.4,30270.7
,"Johnson County, KY",21115,14907.24,60265,1568.8,31181.6
,"Kenton County, KY",21117,14992.77,48212,1779.9,31610.8
,"Knott County, KY",21119,14906.34,60265,1709.5,30915.1
,"Knox County, KY",21121,15066.6,72318,1804.2,30858.7
,"Larue County, KY",21123,15220.61,60265,1602,31301.9
,"Laurel County, KY",21125,15116.29,72318,1676.4,30635.5
,"Lawrence County, KY",21127,14927.13,84371,1575.6,31292.8
,"Lee County, KY",21129,14988.5,36159,1563,30575.7
,"Leslie County, KY",21131,14934.93,72318,1693.7,30828.3
,"Letcher County, KY",21133,14952.21,72318,1805,30600.3
,"Lewis County, KY",21135,14982.85,96424,1718.2,30532.3
,"Lincoln County, KY",21137,15127.59,72318,1636.6,30880.7
,"Livingston County, KY",21139,15714.27,72318,1475.5,32511.1
,"Logan County, KY",21141,15555.34,132583,1608.4,31954.6
,"Lyon County, KY",21143,15741.17,48212,1494.6,32750
,"McCracken County, KY",21145,15737.91,36159,1497.3,31945.9
,"McCreary County, KY",21147,15177.14,72318,1802.5,31188
,"McLean County, KY",21149,15473.4,60265,1414.6,32141.3
,"Madison County, KY",21151,15058.74,96424,1614.1,30663.8
,"Magoffin County, KY",21153,14942.77,60265,1576.1,31165.3
,"Marion County, KY",21155,15168.96,72318,1601.7,30866.3
,"Marshall County, KY",21157,15833.5,60265,1528.4,32574.7
,"Martin County, KY",21159,14784.79,48212,1550.4,31127.2
,"Mason County, KY",21161,14911.45,60265,1750.7,30669.8
,"Meade County, KY",21163,15231.14,60265,1669,30794.5
,"Menifee County, KY",21165,14965.21,24106,1526.2,30349.8
,"Mercer County, KY",21167,15098.29,36159,1600.5,30637.2
,"Metcalfe County, KY",21169,15366.67,48212,1649.3,31993.8
,"Monroe County, KY",21171,15481.1,72318,1717.7,31942.6
,"Montgomery County, KY",21173,14958.51,36159,1550.4,30416.9
,"Morgan County, KY",21175,14976.63,72318,1524.2,30828
,"Muhlenberg County, KY",21177,15502.45,96424,1454,32078.7
,"Nelson County, KY",21179,15169.95,96424,1568.3,30931.2
,"Nicholas County, KY",21181,15021.44,36159,1768.3,30600.6
,"Ohio County, KY",21183,15417.09,108477,1417.2,32232.4
,"Oldham County, KY",21185,15064.96,36159,1615.3,30864.3
,"Owen County, KY",21187,15087.42,60265,1732.9,31009.6
,"Owsley County, KY",21189,15011.59,48212,1647,30741.5
,"Pendleton County, KY",21191,15028.64,48212,1791.7,31685
,"Perry County, KY",21193,14975.24,60265,1728.3,30840
,"Pike County, KY",21195,14874.59,156689,1598.4,31503.5
,"Powell County, KY",21197,14992.36,36159,1541.6,30481.7
,"Pulaski County, KY",21199,15198.3,120530,1640.6,31659.5
,"Robertson County, KY",21201,15021.29,12053,1807.5,31004.4
,"Rockcastle County, KY",21203,15084.93,84371,1653.1,30324.3
,"Rowan County, KY",21205,14995.68,60265,1524.5,30775.5
,"Russell County, KY",21207,15275.29,48212,1663.9,31633.1
,"Scott County, KY",21209,15053.08,60265,1556.8,30533.1
,"Shelby County, KY",21211,15094.11,72318,1520.8,31017.4
,"Simpson County, KY",21213,15596.95,72318,1606.8,31911.2
,"Spencer County, KY",21215,15137.26,36159,1549.7,31112.4
,"Taylor County, KY",21217,15188.43,84371,1606.8,31325.6
,"Todd County, KY",21219,15558.78,72318,1559,31753.3
,"Trigg County, KY",21221,15665.97,132583,1525.4,32419.1
,"Trimble County, KY",21223,15112.96,36159,1805.8,30705.9
,"Union County, KY",21225,15548.21,60265,1479.2,32195.2
,"Warren County, KY",21227,15542.17,96424,1597,32362
,"Washington County, KY",21229,15110.81,72318,1582.8,30558.2
,"Wayne County, KY",21231,15269.95,96424,1728.6,31775.5
,"Webster County, KY",21233,15515.96,84371,1466.8,32328.1
,"Whitley County, KY",21235,15148.12,108477,1822.6,30801.4
,"Wolfe County, KY",21237,14964.8,60265,1546.2,30630.9
,"Woodford County, KY",21239,15044.53,36159,1559.5,30205
,"Acadia Parish, LA",22001,17400.78,132583,2252.9,33308
,"Allen Parish, LA",22003,17417.98,120530,2058.6,33872.4
,"Ascension Parish, LA",22005,17425.57,60265,2184.3,34041.1
,"Assumption Parish, LA",22007,17345.58,84371,2018.4,33041
,"Avoyelles Parish, LA",22009,17472.67,180795,1989.6,33920.5
,"Beauregard Parish, LA",22011,17333.09,229007,1986,34022.4
,"Bienville Parish, LA",22013,17122.25,180795,1864.9,32745.9
,"Bossier Parish, LA",22015,17071.26,144636,1853.3,32653.4
,"Caddo Parish, LA",22017,17081.6,168742,1845.2,32634.3
,"Calcasieu Parish, LA",22019,17554.51,229007,1839.7,33808.3
,"Caldwell Parish, LA",22021,17304.51,96424,1905.2,33605.7
,"Cameron Parish, LA",22023,19607.4,253113,2027.8,36534.8
,"Catahoula Parish, LA",22025,17405.71,108477,1872.6,34045.8
,"Claiborne Parish, LA",22027,17009.86,120530,1842.3,32579.2
,"Concordia Parish, LA",22029,17411.48,168742,1918.3,34311.6
,"De Soto Parish, LA",22031,17161.78,168742,1808.7,32720.6
,"East Baton Rouge Parish, LA",22033,17312.93,84371,1954.1,34118.4
,"East Carroll Parish, LA",22035,17234.29,84371,2079,34637.3
,"East Feliciana Parish, LA",22037,17279.06,72318,1881.9,33379
,"Evangeline Parish, LA",22039,17432.29,144636,2090.1,33124.6
,"Franklin Parish, LA",22041,17293.74,132583,1971.6,34228.4
,"Grant Parish, LA",22043,17254.38,144636,1991,32990.3
,"Iberia Parish, LA",22045,17749.25,120530,1982.6,33055.8
,"Iberville Parish, LA",22047,17401.37,132583,1954.6,33974
,"Jackson Parish, LA",22049,17202.1,132583,1889.5,32963
,"Jefferson Parish, LA",22051,17945.98,48212,2104.1,33411.9
,"Jefferson Davis Parish, LA",22053,17471.64,156689,2068.9,34109.2
,"Lafayette Parish, LA",22055,17361.2,48212,2159.4,32800.1
,"Lafourche Parish, LA",22057,18146.34,204901,1928.8,33684.2
,"LaSalle Parish, LA",22059,17325.66,108477,1896.7,33726.6
,"Lincoln Parish, LA",22061,17086.61,84371,1822.1,32836.1
,"Livingston Parish, LA",22063,17641.45,120530,2122.5,35428.7
,"Madison Parish, LA",22065,17289.62,108477,2122.6,34565.8
,"Morehouse Parish, LA",22067,17034.06,132583,1924,34248.7
,"Natchitoches Parish, LA",22069,17233.25,241060,1832.2,32626.6
,"Orleans Parish, LA",22071,17999.75,36159,2099,32909.1
,"Ouachita Parish, LA",22073,17127.79,120530,1864.4,33811.2
,"Plaquemines Parish, LA",22075,19997.76,180795,2076.4,36372.2
,"Pointe Coupee Parish, LA",22077,17396.47,108477,1922.6,33888.5
,"Rapides Parish, LA",22079,17327.9,253113,1927.8,33426.7
,"Red River Parish, LA",22081,17181.92,72318,1834.1,32752.6
,"Richland Parish, LA",22083,17177.88,120530,1982.9,34171.3
,"Sabine Parish, LA",22085,17270.73,192848,1836.9,32662.2
,"St. Bernard Parish, LA",22087,19658.19,96424,2171.6,36198.9
,"St. Charles Parish, LA",22089,17543.25,72318,2092.3,33611.7
,"St. Helena Parish, LA",22091,17292.57,96424,1937,33687.4
,"St. James Parish, LA",22093,17384.8,60265,2109.5,33729.8
,"St. John the Baptist Parish, LA",22095,17629.04,60265,2132.2,34715.3
,"St. Landry Parish, LA",22097,17431.61,168742,1956.9,33732
,"St. Martin Parish, LA",22099,17493.03,156689,1987.5,33564.7
,"St. Mary Parish, LA",22101,17757.58,120530,2078.4,33294.4
,"St. Tammany Parish, LA",22103,17620.65,168742,1890.3,33410.5
,"Tangipahoa Parish, LA",22105,17646.24,156689,1997.7,35720.8
,"Tensas Parish, LA",22107,17383.26,120530,1973.7,34600.2
,"Terrebonne Parish, LA",22109,18254.49,241060,1913.3,34005
,"Union Parish, LA",22111,17095.03,168742,1840.8,33705.3
,"Vermilion Parish, LA",22113,19064.45,241060,2186.5,36163.7
,"Vernon Parish, LA",22115,17303.75,229007,2026.9,32675.7
,"Washington Parish, LA",22117,17378.64,132583,1931.5,33516.7
,"Webster Parish, LA",22119,17012.61,120530,1888.4,32430.5
,"West Baton Rouge Parish, LA",22121,17342.87,24106,1911.1,33673.6
,"West Carroll Parish, LA",22123,17114.14,72318,2003.2,34629.1
,"West Feliciana Parish, LA",22125,17331.61,72318,1939.8,33457.1
,"Winn Parish, LA",22127,17256.17,180795,1954.7,32736.2
,"Androscoggin County, ME",23001,14049.04,108477,1724.9,31229.8
,"Aroostook County, ME",23003,13242.79,1603049,1095.3,33875.3
,"Cumberland County, ME",23005,14480.63,216954,1497.6,32371.3
,"Franklin County, ME",23007,13506.29,373643,1401.4,31028.9
,"Hancock County, ME",23009,13839.26,337484,1293.9,30696.2
,"Kennebec County, ME",23011,13928.06,229007,1488.4,30940.2
,"Knox County, ME",23013,14208.79,72318,1490.3,31007.7
,"Lincoln County, ME",23015,14300.77,84371,1499,31058.4
,"Oxford County, ME",23017,13788.57,482120,1465.8,31082.3
,"Penobscot County, ME",23019,13472.59,879869,1140.9,32441.6
,"Piscataquis County, ME",23021,13310.79,1012452,1184.5,32256.4
,"Sagadahoc County, ME",23023,14435.86,48212,1473.1,31594.3
,"Somerset County, ME",23025,13361.29,916028,1233.4,31975.7
,"Waldo County, ME",23027,13915.78,156689,1430.6,30667.6
,"Washington County, ME",23029,13677.5,626756,1160.7,31397.2
,"York County, ME",23031,14703.98,241060,1562.5,32520
,"Allegany County, MD",24001,14667.46,108477,1882.5,30266.8
,"Anne Arundel County, MD",24003,15914.36,96424,1659.1,30833
,"Baltimore County, MD",24005,15218.61,120530,1865.2,30676.9
,"Calvert County, MD",24009,16216.12,60265,1853.1,30642.3
,"Caroline County, MD",24011,15525.25,60265,1686.8,30358.5
,"Carroll County, MD",24013,15007.69,96424,1824.1,30458.3
,"Cecil County, MD",24015,15288.89,108477,1734.3,30718
,"Charles County, MD",24017,15688.24,84371,1696.7,30654.9
,"Dorchester County, MD",24019,15826.94,120530,1691.4,30215.1
,"Frederick County, MD",24021,15006.85,156689,1801,30780.7
,"Garrett County, MD",24023,14482.49,156689,1860.6,29327.4
,"Harford County, MD",24025,15236.31,96424,1817.5,30461.6
,"Howard County, MD",24027,15232.46,48212,1841.2,30480.3
,"Kent County, MD",24029,15426.53,60265,1684.4,30516
,"Montgomery County, MD",24031,15216.56,96424,1762.4,30603.7
,"Prince George's County, MD",24033,15592.56,132583,1735.3,30786.5
,"Queen Anne's County, MD",24035,15486.76,48212,1671.3,30455
,"St. Mary's County, MD",24037,16176.32,60265,1733.1,30754.1
,"Somerset County, MD",24039,16003.9,48212,1660.7,29932.5
,"Talbot County, MD",24041,15572.66,48212,1770.4,30109.1
,"Washington County, MD",24043,14895.82,96424,1824.6,30596.6
,"Wicomico County, MD",24045,15776.33,96424,1639.8,30445.5
,"Worcester County, MD",24047,16661.65,108477,1753.1,32319.8
,"Baltimore city, MD",24510,15636.66,24106,1969.8,30957.3
,"Barnstable County, MA",25001,15731.84,96424,1403.2,33013.1
,"Berkshire County, MA",25003,14359.78,229007,1755.2,29506.9
,"Bristol County, MA",25005,14983,120530,1675.8,32503.4
,"Dukes County, MA",25007,15907.08,24106,1496.6,31921.7
,"Essex County, MA",25009,15265.82,108477,1539.2,33375.2
,"Franklin County, MA",25011,14328.1,192848,1783.1,29643.1
,"Hampden County, MA",25013,14495.76,168742,1740.1,29676.7
,"Hampshire County, MA",25015,14382.76,84371,1719.5,29402.5
,"Middlesex County, MA",25017,14543.62,204901,1567.2,31521.8
,"Nantucket County, MA",25019,15658.22,12053,1440.3,31331.5
,"Norfolk County, MA",25021,14711.12,84371,1632.8,33456.2
,"Plymouth County, MA",25023,15673.24,168742,1648.1,33582.3
,"Suffolk County, MA",25025,14760.47,12053,1690.4,30525.7
,"Worcester County, MA",25027,14483.92,373643,1651.6,29747.7
,"Alcona County, MI",26001,14413.93,180795,1201.2,31746.6
,"Alger County, MI",26003,14692.71,229007,1168.2,32669.3
,"Allegan County, MI",26005,14764.15,216954,1442.2,31798.3
,"Alpena County, MI",26007,14785.97,144636,1118.2,32450.5
,"Antrim County, MI",26009,14454.6,108477,1239.4,31784.5
,"Arenac County, MI",26011,14507.78,60265,1013.7,31033.4
,"Baraga County, MI",26013,13646.12,216954,1075.2,29493.2
,"Barry County, MI",26015,14314.96,108477,1580,29297.1
,"Bay County, MI",26017,14257.57,84371,970.1,30614.7
,"Benzie County, MI",26019,14606.07,72318,1222.9,32239
,"Berrien County, MI",26021,14815.57,120530,1490.3,31951.8
,"Branch County, MI",26023,14470.86,108477,1552.3,29828.4
,"Calhoun County, MI",26025,14372.84,96424,1571.9,29718
,"Cass County, MI",26027,14636.78,144636,1550.3,32256.9
,"Charlevoix County, MI",26029,14722.56,84371,1285.8,32075.3
,"Cheboygan County, MI",26031,14144.99,168742,1249.2,30362.8
,"Chippewa County, MI",26033,14157.17,349537,1208,32806.2
,"Clare County, MI",26035,14184.9,96424,1345.6,29819.5
,"Clinton County, MI",26037,14205.54,144636,1439.2,29262.9
,"Crawford County, MI",26039,13890.96,144636,1269,29077.6
,"Delta County, MI",26041,14729.16,277219,1029.7,33094.6
,"Dickinson County, MI",26043,13930.4,180795,1262.3,29411.4
,"Eaton County, MI",26045,14221.02,144636,1502.4,29490.3
,"Emmet County, MI",26047,14250.26,108477,1221.2,32858.6
